Generated data
------------------------
Period	Type	Category	Account	Cost Centre	Description	Amount
3/6/2018	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2018	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2018	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2018	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2018	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2018	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2018	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2018	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2018	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2018	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2018	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2018	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2018	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2017	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2017	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2016	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2016	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2015	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2015	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2014	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2014	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2013	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2013	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2012	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2012	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2011	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2011	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2010	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2010	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2009	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2009	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2008	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2008	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2007	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2007	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2006	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2006	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2005	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2005	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/5/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/6/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/6/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/7/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/7/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/8/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/8/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/9/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/9/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/10/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/10/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/11/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/11/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/12/2004	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/12/2004	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/1/2003	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/1/2003	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/2/2003	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/2/2003	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/3/2003	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/3/2003	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/4/2003	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
3/4/2003	Actual	Expenditure	Salaries	Administration	Salaries monthly transactions	6575
3/5/2003	Actual	Expenditure	Rent	Administration	Rent monthly transactions	4750
